,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Developed regions,(b),901,, 82 378 628, 92 306 854, 103 375 363, 117 181 109, 132 560 325, 140 481 955, 40 263 397, 45 092 799, 50 536 796, 57 217 777, 64 081 077, 67 618 619, 42 115 231, 47 214 055, 52 838 567, 59 963 332, 68 479 248, 72 863 336,,,,,,,,,,,,,,,,,,,,
3,Developing regions,(c),902,, 70 184 584, 68 494 898, 69 327 946, 74 087 991, 89 153 918, 103 218 281, 37 484 113, 36 644 678, 37 348 043, 40 648 897, 50 532 637, 58 496 816, 32 700 471, 31 850 220, 31 979 903, 33 439 094, 38 621 281, 44 721 465,,,,,,,,,,,,,,,,,,,,
4,Least developed countries,(d),941,, 11 075 966, 11 711 703, 10 077 824, 9 809 634, 10 018 128, 11 951 316, 5 843 107, 6 142 712, 5 361 902, 5 383 009, 5 462 714, 6 463 217, 5 236 216, 5 573 685, 4 721 920, 4 432 371, 4 560 536, 5 493 028,,,,,,,,,,,,,,,,,,,,
5,Less developed regions excluding least developed countries,,934,, 59 105 261, 56 778 501, 59 244 124, 64 272 611, 79 130 668, 91 262 036, 31 641 006, 30 501 966, 31 986 141, 35 265 888, 45 069 923, 52 033 599, 27 464 255, 26 276 535, 27 257 983, 29 006 723, 34 060 745, 39 228 437,,,,,,,,,,,,,,,,,,,,
6,Sub-Saharan Africa,(e),947,, 14 690 319, 15 324 570, 13 716 539, 13 951 086, 15 496 764, 18 993 986, 7 745 306, 8 036 824, 7 210 452, 7 444 048, 8 188 581, 10 099 486, 6 945 013, 7 287 746, 6 506 087, 6 507 038, 7 308 183, 8 894 500,,,,,,,,,,,,,,,,,,,,
7,Africa,,903,, 15 690 623, 16 352 814, 14 800 306, 15 191 146, 16 840 014, 20 649 557, 8 279 564, 8 616 931, 7 856 358, 8 231 437, 9 039 314, 11 123 423, 7 411 059, 7 735 883, 6 943 948, 6 959 709, 7 800 700, 9 526 134,,,,,,,,,,,,,,,,,,,,
8,Eastern Africa,,910,, 5 964 031, 5 022 742, 4 844 795, 4 745 792, 4 657 063, 6 129 113, 3 071 189, 2 585 053, 2 480 584, 2 529 460, 2 366 216, 3 109 176, 2 892 842, 2 437 689, 2 364 211, 2 216 332, 2 290 847, 3 019 937,,,,,,,,,,,,,,,,,,,,
9,Burundi,,108,B R,  333 110,  254 853,  125 628,  172 874,  235 259,  286 810,  163 267,  124 165,  61 094,  84 805,  115 823,  141 311,  169 843,  130 688,  64 534,  88 069,  119 436,  145 499,,,,,,,,,,,,,,,,,,,,
10,Comoros,,174,B,  14 079,  13 939,  13 799,  13 209,  12 618,  12 555,  6 717,  6 614,  6 511,  6 286,  6 060,  6 071,  7 362,  7 325,  7 288,  6 923,  6 558,  6 484,,,,,,,,,,,,,,,,,,,,
11,Djibouti,,262,B R,  122 221,  99 774,  100 507,  92 091,  101 575,  112 351,  64 242,  52 476,  52 920,  51 315,  53 295,  59 081,  57 979,  47 298,  47 587,  40 776,  48 280,  53 270,,,,,,,,,,,,,,,,,,,,
12,Eritrea,,232,I,  11 848,  12 400,  12 952,  14 314,  15 676,  15 941,  6 228,  6 542,  6 856,  7 729,  8 603,  8 833,  5 620,  5 858,  6 096,  6 585,  7 073,  7 108,,,,,,,,,,,,,,,,,,,,
13,Ethiopia,,231,B R, 1 155 390,  806 904,  611 384,  514 242,  567 720, 1 072 949,  607 284,  424 117,  322 219,  269 725,  297 534,  547 062,  548 106,  382 787,  289 165,  244 517,  270 186,  525 887,,,,,,,,,,,,,,,,,,,,
14,Kenya,,404,B R,  297 292,  618 745,  699 139,  756 894,  926 959, 1 084 357,  160 852,  322 189,  348 594,  391 310,  459 343,  541 644,  136 440,  296 556,  350 545,  365 584,  467 616,  542 713,,,,,,,,,,,,,,,,,,,,
15,Madagascar,,450,C,  23 917,  21 177,  23 541,  26 058,  28 905,  32 075,  13 348,  11 901,  13 276,  14 744,  16 410,  18 270,  10 569,  9 276,  10 265,  11 314,  12 495,  13 805,,,,,,,,,,,,,,,,,,,,
16,Malawi,,454,B R, 1 127 724,  241 624,  232 620,  221 661,  217 722,  215 158,  546 520,  116 198,  111 530,  105 931,  103 869,  102 544,  581 204,  125 426,  121 090,  115 730,  113 853,  112 614,,,,,,,,,,,,,,,,,,,,
17,Mauritius,(1),480,C,  3 613,  7 493,  15 543,  19 647,  24 836,  28 585,  1 763,  3 228,  5 705,  8 943,  13 188,  15 832,  1 850,  4 265,  9 838,  10 704,  11 648,  12 753,,,,,,,,,,,,,,,,,,,,
18,Mayotte,,175,B,  15 229,  26 316,  45 474,  63 176,  72 757,  76 992,  8 780,  14 679,  23 546,  31 364,  34 500,  35 623,  6 449,  11 637,  21 928,  31 812,  38 257,  41 369,,,,,,,,,,,,,,,,,,,,
19,Mozambique,,508,B R,  122 332,  168 256,  195 702,  204 830,  214 612,  222 928,  66 060,  91 210,  103 175,  102 500,  104 676,  107 955,  56 272,  77 046,  92 527,  102 330,  109 936,  114 973,,,,,,,,,,,,,,,,,,,,
20,R?union,,638,B,  57 210,  77 159,  100 678,  115 076,  123 029,  127 209,  30 724,  40 710,  52 264,  59 196,  62 707,  64 537,  26 486,  36 449,  48 414,  55 880,  60 322,  62 672,,,,,,,,,,,,,,,,,,,,
21,Rwanda,,646,B R,  159 869,  233 200,  347 076,  432 797,  436 787,  441 525,  80 690,  117 931,  175 685,  217 027,  218 425,  220 017,  79 179,  115 269,  171 391,  215 770,  218 362,  221 508,,,,,,,,,,,,,,,,,,,,
22,Seychelles,,690,B,  3 721,  5 148,  6 574,  8 997,  11 420,  12 791,  2 204,  3 021,  3 837,  5 820,  7 804,  8 954,  1 517,  2 127,  2 737,  3 177,  3 616,  3 837,,,,,,,,,,,,,,,,,,,,
23,Somalia,,706,I R,  478 294,  19 527,  20 087,  20 670,  23 995,  25 291,  244 201,  10 282,  10 622,  11 047,  12 914,  13 760,  234 093,  9 245,  9 465,  9 623,  11 081,  11 531,,,,,,,,,,,,,,,,,,,,
24,South Sudan,,728,B R,..,..,..,..,  257 905,  824 122,..,..,..,..,  132 693,  420 949,..,..,..,..,  125 212,  403 173,,,,,,,,,,,,,,,,,,,,
25,Uganda,,800,B R,  558 307,  634 620,  634 703,  652 968,  529 160,  749 471,  290 084,  321 360,  314 325,  322 421,  261 646,  374 438,  268 223,  313 260,  320 378,  330 547,  267 514,  375 033,,,,,,,,,,,,,,,,,,,,
26,United Republic of Tanzania,(2),834,B R,  574 025, 1 106 043,  928 180,  770 846,  308 600,  261 222,  283 390,  547 089,  470 962,  486 774,  153 984,  130 404,  290 635,  558 954,  457 218,  284 072,  154 616,  130 818,,,,,,,,,,,,,,,,,,,,
27,Zambia,,894,B R,  279 029,  244 338,  321 167,  252 749,  149 637,  127 915,  142 807,  125 329,  163 620,  128 553,  75 775,  64 512,  136 222,  119 009,  157 547,  124 196,  73 862,  63 403,,,,,,,,,,,,,,,,,,,,
28,Zimbabwe,,716,B R,  626 821,  431 226,  410 041,  392 693,  397 891,  398 866,  352 028,  246 012,  233 843,  223 970,  226 967,  227 379,  274 793,  185 214,  176 198,  168 723,  170 924,  171 487,,,,,,,,,,,,,,,,,,,,
29,Middle Africa,,911,, 1 460 530, 2 646 108, 1 756 687, 1 928 828, 2 139 979, 2 307 688,  744 494, 1 346 091,  904 076,  983 868, 1 091 761, 1 159 409,  716 036, 1 300 017,  852 611,  944 960, 1 048 218, 1 148 279,,,,,,,,,,,,,,,,,,,,
30,Angola,,24,B R,  33 517,  39 813,  46 108,  61 329,  76 549,  106 845,  18 142,  20 755,  23 367,  30 240,  37 113,  51 461,  15 375,  19 058,  22 741,  31 089,  39 436,  55 384,,,,,,,,,,,,,,,,,,,,
31,Cameroon,,120,B,  265 344,  246 864,  228 383,  258 737,  289 091,  381 984,  145 527,  135 079,  124 630,  142 397,  160 164,  186 605,  119 817,  111 785,  103 753,  116 340,  128 927,  195 379,,,,,,,,,,,,,,,,,,,,
32,Central African Republic,,140,C,  67 234,  99 712,  123 529,  94 449,  93 466,  81 598,  35 686,  52 975,  65 636,  50 236,  49 743,  43 163,  31 548,  46 737,  57 893,  44 213,  43 723,  38 435,,,,,,,,,,,,,,,,,,,,
33,Chad,,148,B R,  74 342,  89 584,  104 825,  352 062,  416 924,  516 968,  40 133,  48 298,  56 463,  159 715,  186 773,  238 140,  34 209,  41 286,  48 362,  192 347,  230 151,  278 828,,,,,,,,,,,,,,,,,,,,
34,Congo,,178,B,  129 597,  191 635,  305 002,  315 238,  419 649,  392 996,  64 418,  95 822,  152 666,  171 420,  228 180,  215 274,  65 179,  95 813,  152 336,  143 818,  191 469,  177 722,,,,,,,,,,,,,,,,,,,,
35,Democratic Republic of the Congo,,180,B R,  754 194, 1 816 963,  744 387,  622 869,  588 950,  545 694,  363 117,  901 379,  365 092,  302 290,  284 244,  264 445,  391 077,  915 584,  379 295,  320 579,  304 706,  281 249,,,,,,,,,,,,,,,,,,,,
36,Equatorial Guinea,,226,C,  2 740,  3 629,  4 517,  6 588,  8 658,  10 825,  1 465,  1 930,  2 394,  3 564,  4 734,  5 980,  1 275,  1 699,  2 123,  3 024,  3 924,  4 845,,,,,,,,,,,,,,,,,,,,
37,Gabon,,266,C,  127 980,  152 972,  195 571,  214 123,  243 992,  268 384,  73 053,  87 305,  111 616,  122 279,  139 458,  153 144,  54 927,  65 667,  83 955,  91 844,  104 534,  115 240,,,,,,,,,,,,,,,,,,,,
38,Sao Tome and Principe,,678,C,  5 582,  4 936,  4 365,  3 433,  2 700,  2 394,  2 953,  2 548,  2 212,  1 727,  1 352,  1 197,  2 629,  2 388,  2 153,  1 706,  1 348,  1 197,,,,,,,,,,,,,,,,,,,,
39,Northern Africa,,912,, 2 403 200, 2 081 640, 1 885 650, 1 782 054, 1 921 613, 2 159 048, 1 230 643, 1 105 808, 1 048 954, 1 063 304, 1 145 515, 1 278 467, 1 172 557,  975 832,  836 696,  718 750,  776 098,  880 581,,,,,,,,,,,,,,,,,,,,
40,Algeria,,12,C R,  273 954,  262 032,  250 110,  247 537,  244 964,  242 391,  150 234,  143 696,  137 158,  135 748,  134 339,  132 930,  123 720,  118 336,  112 952,  111 789,  110 625,  109 461,,,,,,,,,,,,,,,,,,,,
41,Egypt,,818,B R,  173 708,  166 955,  173 452,  274 001,  295 714,  491 643,  91 928,  88 545,  92 205,  158 277,  166 071,  265 054,  81 780,  78 410,  81 247,  115 724,  129 643,  226 589,,,,,,,,,,,,,,,,,,,,
42,Libya,,434,C,  457 075,  508 041,  567 436,  625 212,  683 998,  771 146,  242 707,  300 906,  368 950,  445 597,  489 737,  549 153,  214 368,  207 135,  198 486,  179 615,  194 261,  221 993,,,,,,,,,,,,,,,,,,,,
43,Morocco,,504,C,  54 895,  50 360,  53 034,  54 379,  70 909,  88 511,  29 024,  26 264,  27 233,  27 543,  35 738,  44 390,  25 871,  24 096,  25 801,  26 836,  35 171,  44 121,,,,,,,,,,,,,,,,,,,,
44,Sudan,(3),729,B R, 1 402 896, 1 053 396,  801 883,  541 994,  578 363,  503 477,  696 385,  525 701,  403 048,  275 915,  294 782,  254 530,  706 511,  527 695,  398 835,  266 079,  283 581,  248 947,,,,,,,,,,,,,,,,,,,,
45,Tunisia,,788,C,  37 984,  37 867,  36 446,  35 040,  43 172,  56 701,  18 900,  19 045,  18 523,  18 000,  22 236,  29 351,  19 084,  18 822,  17 923,  17 040,  20 936,  27 350,,,,,,,,,,,,,,,,,,,,
46,Western Sahara,,732,I,  2 688,  2 989,  3 289,  3 891,  4 493,  5 179,  1 465,  1 651,  1 837,  2 224,  2 612,  3 059,  1 223,  1 338,  1 452,  1 667,  1 881,  2 120,,,,,,,,,,,,,,,,,,,,
47,Southern Africa,,913,, 1 392 359, 1 191 582, 1 222 314, 1 439 426, 2 203 306, 3 435 194,  840 899,  714 194,  721 814,  837 071, 1 276 957, 2 040 742,  551 460,  477 388,  500 500,  602 355,  926 349, 1 394 452,,,,,,,,,,,,,,,,,,,,
48,Botswana,,72,C,  27 510,  40 168,  57 064,  88 829,  120 912,  160 644,  16 614,  23 517,  32 891,  49 695,  66 692,  87 873,  10 896,  16 651,  24 173,  39 134,  54 220,  72 771,,,,,,,,,,,,,,,,,,,,
49,Lesotho,,426,C R,  8 240,  7 204,  6 167,  6 290,  6 414,  6 572,  4 318,  3 827,  3 335,  3 402,  3 469,  3 558,  3 922,  3 377,  2 832,  2 888,  2 945,  3 014,,,,,,,,,,,,,,,,,,,,
50,Namibia,,516,B,  120 641,  115 372,  134 403,  106 274,  102 405,  93 888,  63 748,  61 310,  72 509,  57 034,  55 054,  50 687,  56 893,  54 062,  61 894,  49 240,  47 351,  43 201,,,,,,,,,,,,,,,,,,,,
51,South Africa,,710,B R, 1 163 883, 1 003 807, 1 001 825, 1 210 936, 1 943 099, 3 142 511,  717 227,  611 083,  600 032,  712 219, 1 135 886, 1 882 276,  446 656,  392 724,  401 793,  498 717,  807 213, 1 260 235,,,,,,,,,,,,,,,,,,,,
52,Swaziland,,748,B R,  72 085,  25 031,  22 855,  27 097,  30 476,  31 579,  38 992,  14 457,  13 047,  14 721,  15 856,  16 348,  33 093,  10 574,  9 808,  12 376,  14 620,  15 231,,,,,,,,,,,,,,,,,,,,
53,Western Africa,,914,, 4 470 503, 5 410 742, 5 090 860, 5 295 046, 5 918 053, 6 618 514, 2 392 339, 2 865 785, 2 700 930, 2 817 734, 3 158 865, 3 535 629, 2 078 164, 2 544 957, 2 389 930, 2 477 312, 2 759 188, 3 082 885,,,,,,,,,,,,,,,,,,,,
54,Benin,,204,C B R,  76 212,  104 971,  133 730,  171 499,  209 267,  245 399,  40 092,  55 858,  71 624,  93 882,  116 139,  137 662,  36 120,  49 113,  62 106,  77 617,  93 128,  107 737,,,,,,,,,,,,,,,,,,,,
55,Burkina Faso,,854,B R,  349 657,  434 848,  520 039,  596 972,  673 904,  704 676,  167 836,  209 117,  250 399,  285 542,  320 684,  335 328,  181 821,  225 731,  269 640,  311 430,  353 220,  369 348,,,,,,,,,,,,,,,,,,,,
56,Cabo Verde,,132,B,  8 931,  9 979,  11 027,  12 700,  14 373,  14 924,  4 429,  5 091,  5 753,  6 523,  7 293,  7 547,  4 502,  4 888,  5 274,  6 177,  7 080,  7 377,,,,,,,,,,,,,,,,,,,,
57,C?te d'Ivoire,,384,C B, 1 816 426, 2 076 394, 1 994 135, 2 010 824, 2 095 185, 2 175 399, 1 011 749, 1 150 710, 1 104 600, 1 113 590, 1 160 366, 1 204 616,  804 677,  925 684,  889 535,  897 234,  934 819,  970 783,,,,,,,,,,,,,,,,,,,,
58,Gambia,,270,B,  118 123,  150 890,  182 514,  181 905,  185 763,  192 540,  66 306,  82 048,  97 138,  96 230,  98 086,  101 501,  51 817,  68 842,  85 376,  85 675,  87 677,  91 039,,,,,,,,,,,,,,,,,,,,
59,Ghana,,288,B,  164 851,  252 879,  191 601,  304 436,  337 017,  399 471,  83 030,  127 423,  97 279,  159 363,  181 558,  217 444,  81 821,  125 456,  94 322,  145 073,  155 459,  182 027,,,,,,,,,,,,,,,,,,,,
60,Guinea,,324,C R,  403 621,  774 505,  560 075,  229 611,  205 111,  228 413,  201 260,  386 537,  279 108,  111 738,  100 953,  112 583,  202 361,  387 968,  280 967,  117 873,  104 158,  115 830,,,,,,,,,,,,,,,,,,,,
61,Guinea-Bissau,,624,B R,  15 368,  27 961,  20 450,  20 736,  21 061,  22 333,  7 689,  13 833,  10 155,  10 298,  10 307,  10 826,  7 679,  14 128,  10 295,  10 438,  10 754,  11 507,,,,,,,,,,,,,,,,,,,,
62,Liberia,,430,B,  94 964,  208 563,  151 868,  87 188,  99 129,  113 779,  53 924,  111 647,  82 129,  51 183,  56 885,  64 879,  41 040,  96 916,  69 739,  36 005,  42 244,  48 900,,,,,,,,,,,,,,,,,,,,
63,Mali,,466,B R,  160 736,  176 187,  189 475,  256 797,  336 607,  363 145,  82 049,  90 871,  97 752,  132 244,  172 879,  186 111,  78 687,  85 316,  91 723,  124 553,  163 728,  177 034,,,,,,,,,,,,,,,,,,,,
64,Mauritania,,478,C R,  111 650,  89 562,  57 366,  58 119,  84 679,  138 162,  57 569,  47 015,  31 163,  32 588,  48 605,  80 230,  54 081,  42 547,  26 203,  25 531,  36 074,  57 932,,,,,,,,,,,,,,,,,,,,
65,Niger,,562,B R,  115 464,  145 999,  122 260,  124 461,  126 464,  189 255,  55 222,  69 751,  58 192,  59 170,  60 033,  89 731,  60 242,  76 248,  64 068,  65 291,  66 431,  99 524,,,,,,,,,,,,,,,,,,,,
66,Nigeria,,566,C R,  456 621,  462 999,  487 882,  648 019,  920 118, 1 199 115,  256 166,  258 091,  270 211,  357 751,  506 367,  657 887,  200 455,  204 908,  217 671,  290 268,  413 751,  541 228,,,,,,,,,,,,,,,,,,,,
67,Saint Helena,(4),654,B,   383,   394,   405,   487,   569,   604,   222,   218,   215,   263,   312,   335,   161,   176,   190,   224,   257,   269,,,,,,,,,,,,,,,,,,,,
68,Senegal,,686,B R,  270 410,  287 654,  231 901,  238 298,  256 092,  263 242,  138 840,  147 165,  121 492,  124 854,  135 879,  139 689,  131 570,  140 489,  110 409,  113 444,  120 213,  123 553,,,,,,,,,,,,,,,,,,,,
69,Sierra Leone,,694,B R,  222 242,  105 374,  98 241,  149 615,  97 452,  91 213,  123 053,  59 683,  54 639,  79 638,  53 239,  49 962,  99 189,  45 691,  43 602,  69 977,  44 213,  41 251,,,,,,,,,,,,,,,,,,,,
70,Togo,,768,C R,  84 844,  101 583,  137 891,  203 379,  255 262,  276 844,  42 903,  50 727,  69 081,  102 877,  129 280,  139 298,  41 941,  50 856,  68 810,  100 502,  125 982,  137 546,,,,,,,,,,,,,,,,,,,,
71,Asia,,935,, 48 142 261, 46 548 225, 49 340 815, 53 371 224, 65 914 319, 75 081 125, 26 011 875, 25 197 522, 26 848 671, 29 585 231, 38 205 140, 43 550 416, 22 130 386, 21 350 703, 22 492 144, 23 785 993, 27 709 179, 31 530 709,,,,,,,,,,,,,,,,,,,,
72,Central Asia,,5500,, 6 630 683, 5 890 035, 5 183 872, 5 238 699, 5 262 414, 5 393 504, 2 972 500, 2 635 584, 2 315 883, 2 408 209, 2 488 477, 2 596 652, 3 658 183, 3 254 451, 2 867 989, 2 830 490, 2 773 937, 2 796 852,,,,,,,,,,,,,,,,,,,,
73,Kazakhstan,,398,B, 3 619 200, 3 245 250, 2 871 300, 3 102 962, 3 334 623, 3 546 778, 1 666 164, 1 494 009, 1 321 855, 1 473 441, 1 625 026, 1 758 182, 1 953 036, 1 751 241, 1 549 445, 1 629 521, 1 709 597, 1 788 596,,,,,,,,,,,,,,,,,,,,
74,Kyrgyzstan,,417,B,  623 083,  510 296,  389 558,  312 897,  231 511,  204 382,  260 416,  213 277,  162 815,  129 544,  94 348,  82 616,  362 667,  297 019,  226 743,  183 353,  137 163,  121 766,,,,,,,,,,,,,,,,,,,,
75,Tajikistan,,762,B,  428 900,  348 347,  299 266,  280 444,  278 152,  275 059,  188 128,  151 957,  131 420,  121 381,  120 124,  118 597,  240 772,  196 390,  167 846,  159 063,  158 028,  156 462,,,,,,,,,,,,,,,,,,,,
76,Turkmenistan,,795,B,  306 500,  273 565,  218 498,  213 051,  197 979,  196 386,  134 174,  118 851,  94 168,  94 406,  90 600,  91 523,  172 326,  154 714,  124 330,  118 645,  107 379,  104 863,,,,,,,,,,,,,,,,,,,,
77,Uzbekistan,,860,B, 1 653 000, 1 512 577, 1 405 250, 1 329 345, 1 220 149, 1 170 899,  723 618,  657 490,  605 625,  589 437,  558 379,  545 734,  929 382,  855 087,  799 625,  739 908,  661 770,  625 165,,,,,,,,,,,,,,,,,,,,
78,Eastern Asia,,906,, 3 959 345, 4 658 475, 5 393 081, 6 229 524, 7 061 814, 7 596 693, 2 005 886, 2 266 526, 2 551 555, 2 931 331, 3 318 241, 3 576 788, 1 953 459, 2 391 949, 2 841 526, 3 298 193, 3 743 573, 4 019 905,,,,,,,,,,,,,,,,,,,,
79,China,(5),156,C,  376 361,  442 198,  508 034,  678 947,  849 861,  978 046,  191 954,  223 018,  254 082,  379 920,  505 758,  600 136,  184 407,  219 180,  253 952,  299 027,  344 103,  377 910,,,,,,,,,,,,,,,,,,,,
80,"China, Hong Kong Special Administrative Region",(6),344,B, 2 218 473, 2 443 798, 2 669 122, 2 721 235, 2 779 950, 2 838 665, 1 124 544, 1 175 087, 1 225 629, 1 185 121, 1 147 539, 1 119 957, 1 093 929, 1 268 711, 1 443 493, 1 536 114, 1 632 411, 1 718 708,,,,,,,,,,,,,,,,,,,,
81,"China, Macao Special Administrative Region",(7),446,B,  205 047,  224 929,  240 791,  279 308,  318 506,  342 703,  96 379,  103 660,  109 391,  130 387,  146 407,  155 692,  108 668,  121 269,  131 400,  148 921,  172 099,  187 011,,,,,,,,,,,,,,,,,,,,
82,Democratic People's Republic of Korea,,408,I,  34 103,  35 143,  36 183,  40 097,  44 010,  48 458,  17 393,  17 562,  17 731,  19 749,  21 766,  24 110,  16 710,  17 581,  18 452,  20 348,  22 244,  24 348,,,,,,,,,,,,,,,,,,,,
83,Japan,,392,C, 1 075 626, 1 381 097, 1 686 567, 2 012 916, 2 134 151, 2 043 877,  547 986,  672 482,  796 977,  924 544,  959 860,  919 259,  527 640,  708 615,  889 590, 1 088 372, 1 174 291, 1 124 618,,,,,,,,,,,,,,,,,,,,
84,Mongolia,,496,C,  6 718,  7 424,  8 206,  11 475,  16 061,  17 620,  3 419,  3 959,  4 564,  7 576,  11 880,  12 857,  3 299,  3 465,  3 642,  3 899,  4 181,  4 763,,,,,,,,,,,,,,,,,,,,
85,Republic of Korea,,410,C,  43 017,  123 886,  244 178,  485 546,  919 275, 1 327 324,  24 211,  70 758,  143 181,  284 034,  525 031,  744 777,  18 806,  53 128,  100 997,  201 512,  394 244,  582 547,,,,,,,,,,,,,,,,,,,,
86,South-Eastern Asia,,920,, 2 876 616, 3 700 057, 4 926 833, 6 522 343, 8 661 853, 9 867 722, 1 511 104, 1 916 620, 2 504 609, 3 343 951, 4 497 075, 5 118 389, 1 365 512, 1 783 437, 2 422 224, 3 178 392, 4 164 778, 4 749 333,,,,,,,,,,,,,,,,,,,,
87,Brunei Darussalam,,96,B,  73 200,  84 748,  96 296,  98 441,  100 587,  102 733,  41 856,  47 832,  53 807,  55 265,  56 723,  58 181,  31 344,  36 916,  42 489,  43 176,  43 864,  44 552,,,,,,,,,,,,,,,,,,,,
88,Cambodia,,116,B,  38 375,  92 230,  146 085,  114 031,  81 977,  73 963,  19 084,  45 361,  71 638,  57 511,  43 385,  39 854,  19 291,  46 869,  74 447,  56 520,  38 592,  34 109,,,,,,,,,,,,,,,,,,,,
89,Indonesia,,360,B R,  465 612,  378 960,  292 307,  289 568,  305 416,  328 846,  229 885,  191 600,  153 315,  165 493,  174 864,  189 800,  235 727,  187 360,  138 992,  124 075,  130 552,  139 046,,,,,,,,,,,,,,,,,,,,
90,Lao People's Democratic Republic,,418,C R,  22 866,  23 526,  21 948,  20 371,  21 185,  22 244,  11 806,  12 199,  11 564,  10 930,  11 367,  11 936,  11 060,  11 327,  10 384,  9 441,  9 818,  10 308,,,,,,,,,,,,,,,,,,,,
91,Malaysia,(8),458,C R,  695 920,  937 368, 1 277 223, 1 722 344, 2 406 011, 2 514 243,  405 808,  534 964,  712 912,  995 607, 1 437 206, 1 529 630,  290 112,  402 404,  564 311,  726 737,  968 805,  984 613,,,,,,,,,,,,,,,,,,,,
92,Myanmar,,104,C,  133 545,  113 663,  98 011,  83 025,  76 414,  73 308,  72 310,  61 489,  52 150,  44 506,  41 574,  40 177,  61 235,  52 174,  45 861,  38 519,  34 840,  33 131,,,,,,,,,,,,,,,,,,,,
93,Philippines,,608,C R,  154 071,  207 345,  318 095,  257 468,  208 599,  211 862,  81 347,  107 524,  161 904,  133 023,  107 933,  109 783,  72 724,  99 821,  156 191,  124 445,  100 666,  102 079,,,,,,,,,,,,,,,,,,,,
94,Singapore,,702,B,  727 262,  991 492, 1 351 691, 1 710 594, 2 164 794, 2 543 638,  345 842,  456 411,  601 671,  758 762,  956 856, 1 122 986,  381 420,  535 081,  750 020,  951 832, 1 207 938, 1 420 652,,,,,,,,,,,,,,,,,,,,
95,Thailand,,764,B R,  528 693,  809 720, 1 257 821, 2 163 447, 3 224 131, 3 913 258,  283 486,  426 290,  647 728, 1 086 166, 1 624 755, 1 967 491,  245 207,  383 430,  610 093, 1 077 281, 1 599 376, 1 945 767,,,,,,,,,,,,,,,,,,,,
96,Timor-Leste,,626,B,  8 954,  9 743,  10 602,  11 286,  10 983,  10 834,  4 450,  4 763,  5 095,  5 582,  6 441,  6 383,  4 504,  4 980,  5 507,  5 704,  4 542,  4 451,,,,,,,,,,,,,,,,,,,,
97,Viet Nam,,704,C R,  28 118,  51 262,  56 754,  51 768,  61 756,  72 793,  15 230,  28 187,  32 825,  31 106,  35 971,  42 168,  12 888,  23 075,  23 929,  20 662,  25 785,  30 625,,,,,,,,,,,,,,,,,,,,
